Date,Platform,Content,Location
2024-07-04,X,They brutalized our people. Gather on 04/07 at Uhuru Park. #KenyaProtests,Uhuru Park
2024-06-09,Instagram,This government is corrupt – happening act fast at Mombasa! #OneTermPresident,Mombasa
2024-07-03,X,Gather on July 03 in Uhuru Park. We are fed up #OneTermPresident,Uhuru Park
2024-07-26,Instagram,Gen Z rising again! Meet at Nairobi for a strike. #SaveKenya,Nairobi
2024-07-29,TikTok,Gen Z rising again! Meet at Kisumu for a march. #KenyaProtests,Kisumu
2024-06-19,Instagram,Gen Z rising again! Meet at Mombasa for a gather. #SaveKenya,Mombasa
2024-07-22,X,#OneTermPresident – march at Kisumu now!,Kisumu
2024-06-21,X,Strike on June 21 in Uhuru Park. We are fed up #RejectFinanceBill2024,Uhuru Park
2024-06-13,X,This government is corrupt – happening urgent at Uhuru Park! #OneTermPresident,Uhuru Park
2024-06-26,X,This government is corrupt – happening act fast at Nairobi! #OneTermPresident,Nairobi
2024-06-22,X,Gen Z rising again! Meet at Uhuru Park for a strike. #KenyaProtests,Uhuru Park
2024-06-08,TikTok,We are fed up – happening now! at Uhuru Park! #GenZRevolution,Uhuru Park
2024-07-18,X,No justice no peace – happening urgent at Uhuru Park! #RutoMustGo,Uhuru Park
2024-06-16,Instagram,Gen Z rising again! Meet at Nairobi for a march. #SaveKenya,Nairobi
2024-06-24,Instagram,#YouthPower – protest at Nairobi urgent,Nairobi
2024-06-10,X,We are fed up. Protest on 10/06 at Uhuru Park. #YouthPower,Uhuru Park
2024-07-30,X,They brutalized our people. March on 30/07 at Kisumu. #OneTermPresident,Kisumu
2024-06-15,TikTok,Strike on June 15 in Nairobi. No justice no peace #RutoMustGo,Nairobi
2024-07-13,Instagram,Gather on July 13 in Parliament. This government is corrupt #GenZRevolution,Parliament
2024-07-13,TikTok,#YouthPower – boycott at Parliament now!,Parliament
2024-07-08,Instagram,March on July 08 in Mombasa. We are fed up #OccupyParliament,Mombasa
2024-07-02,X,Gen Z rising again! Meet at Uhuru Park for a strike. #RutoMustGo,Uhuru Park
2024-07-21,X,No justice no peace – happening immediately at Kisumu! #OccupyParliament,Kisumu
2024-07-06,TikTok,Gather on July 06 in Mombasa. No justice no peace #GenZRevolution,Mombasa
2024-07-03,X,#SaveKenya – protest at Uhuru Park now!,Uhuru Park
2024-06-15,X,#OccupyParliament – gather at Uhuru Park immediately,Uhuru Park
2024-06-01,TikTok,Gen Z rising again! Meet at Kisumu for a gather. #GenZRevolution,Kisumu
2024-06-03,X,#OneTermPresident – protest at Parliament immediately,Parliament
2024-07-30,TikTok,#SaveKenya – strike at Uhuru Park now!,Uhuru Park
2024-06-05,Instagram,Gen Z rising again! Meet at Kisumu for a gather. #SaveKenya,Kisumu
2024-06-09,TikTok,No justice no peace. Strike on 09/06 at Kisumu. #SaveKenya,Kisumu
2024-07-01,Instagram,No justice no peace – happening act fast at Parliament! #SaveKenya,Parliament
2024-06-29,X,They brutalized our people – happening immediately at Kisumu! #GenZRevolution,Kisumu
2024-07-27,TikTok,#RutoMustGo – gather at Mombasa immediately,Mombasa
2024-07-16,X,Strike on July 16 in Kisumu. We are fed up #RutoMustGo,Kisumu
2024-06-02,Instagram,#SaveKenya – boycott at Uhuru Park act fast,Uhuru Park
2024-07-18,Instagram,We are fed up – happening immediately at Parliament! #RejectFinanceBill2024,Parliament
2024-06-10,X,Gather on June 10 in Nairobi. We are fed up #GenZRevolution,Nairobi
2024-07-05,TikTok,Gather on July 05 in Uhuru Park. No justice no peace #KenyaProtests,Uhuru Park
2024-06-01,X,No justice no peace – happening now! at Kisumu! #RejectFinanceBill2024,Kisumu
2024-06-19,Instagram,Protest on June 19 in Nairobi. This government is corrupt #RutoMustGo,Nairobi
2024-06-15,Instagram,#RejectFinanceBill2024 – boycott at Nairobi urgent,Nairobi
2024-07-28,TikTok,#OccupyParliament – strike at Uhuru Park urgent,Uhuru Park
2024-06-29,TikTok,March on June 29 in Parliament. They brutalized our people #RejectFinanceBill2024,Parliament
2024-06-11,TikTok,Gather on June 11 in Uhuru Park. This government is corrupt #YouthPower,Uhuru Park
2024-07-21,X,We are fed up. Gather on 21/07 at Nairobi. #KenyaProtests,Nairobi
2024-06-02,TikTok,#GenZRevolution – march at Uhuru Park immediately,Uhuru Park
2024-07-22,X,#GenZRevolution – protest at Parliament now!,Parliament
2024-07-02,TikTok,No justice no peace. Gather on 02/07 at Parliament. #RejectFinanceBill2024,Parliament
2024-06-04,X,#RutoMustGo – march at Parliament act fast,Parliament
2024-07-22,X,They brutalized our people – happening now! at Mombasa! #RutoMustGo,Mombasa
2024-06-18,Instagram,We are fed up – happening immediately at Nairobi! #SaveKenya,Nairobi
2024-06-29,X,March on June 29 in Mombasa. No justice no peace #SaveKenya,Mombasa
2024-07-07,TikTok,No justice no peace. Boycott on 07/07 at Uhuru Park. #GenZRevolution,Uhuru Park
2024-06-06,X,They brutalized our people. Protest on 06/06 at Mombasa. #GenZRevolution,Mombasa
2024-07-18,X,Gen Z rising again! Meet at Nairobi for a strike. #RejectFinanceBill2024,Nairobi
2024-06-10,TikTok,We are fed up – happening immediately at Mombasa! #SaveKenya,Mombasa
2024-06-14,Instagram,#RejectFinanceBill2024 – march at Nairobi urgent,Nairobi
2024-07-05,X,We are fed up. March on 05/07 at Kisumu. #RutoMustGo,Kisumu
2024-06-22,TikTok,#RutoMustGo – march at Kisumu urgent,Kisumu
2024-06-26,X,We are fed up. Protest on 26/06 at Uhuru Park. #RutoMustGo,Uhuru Park
2024-06-23,TikTok,#KenyaProtests – strike at Nairobi immediately,Nairobi
2024-07-04,TikTok,Gen Z rising again! Meet at Nairobi for a protest. #GenZRevolution,Nairobi
2024-07-09,X,#RutoMustGo – strike at Nairobi urgent,Nairobi
2024-06-18,X,#OccupyParliament – strike at Nairobi now!,Nairobi
2024-06-23,X,#RejectFinanceBill2024 – boycott at Kisumu immediately,Kisumu
2024-07-05,Instagram,This government is corrupt – happening immediately at Nairobi! #OccupyParliament,Nairobi
2024-06-23,Instagram,#KenyaProtests – gather at Mombasa immediately,Mombasa
2024-07-27,Instagram,We are fed up. March on 27/07 at Parliament. #RutoMustGo,Parliament
2024-07-06,TikTok,This government is corrupt – happening act fast at Uhuru Park! #KenyaProtests,Uhuru Park
2024-06-11,X,No justice no peace – happening now! at Parliament! #GenZRevolution,Parliament
2024-07-07,X,Protest on July 07 in Uhuru Park. This government is corrupt #KenyaProtests,Uhuru Park
2024-06-13,Instagram,#SaveKenya – gather at Parliament immediately,Parliament
2024-06-07,X,This government is corrupt. Gather on 07/06 at Kisumu. #YouthPower,Kisumu
2024-06-10,X,#YouthPower – boycott at Uhuru Park now!,Uhuru Park
2024-07-12,Instagram,We are fed up. Boycott on 12/07 at Mombasa. #GenZRevolution,Mombasa
2024-06-11,X,We are fed up. Protest on 11/06 at Parliament. #OneTermPresident,Parliament
2024-07-07,X,Gen Z rising again! Meet at Mombasa for a boycott. #OccupyParliament,Mombasa
2024-07-03,X,We are fed up – happening now! at Kisumu! #GenZRevolution,Kisumu
2024-07-28,TikTok,#GenZRevolution – strike at Nairobi urgent,Nairobi
2024-07-09,TikTok,#YouthPower – boycott at Parliament immediately,Parliament
2024-07-15,Instagram,This government is corrupt. Boycott on 15/07 at Parliament. #KenyaProtests,Parliament
2024-06-23,TikTok,#RejectFinanceBill2024 – protest at Mombasa immediately,Mombasa
2024-06-26,Instagram,No justice no peace. Protest on 26/06 at Uhuru Park. #OccupyParliament,Uhuru Park
2024-06-02,Instagram,Gen Z rising again! Meet at Parliament for a gather. #RutoMustGo,Parliament
2024-07-06,X,We are fed up. Strike on 06/07 at Nairobi. #RejectFinanceBill2024,Nairobi
2024-07-31,X,Gen Z rising again! Meet at Parliament for a march. #OccupyParliament,Parliament
2024-06-02,X,They brutalized our people. Strike on 02/06 at Nairobi. #RutoMustGo,Nairobi
2024-07-12,X,March on July 12 in Kisumu. They brutalized our people #YouthPower,Kisumu
2024-06-10,X,They brutalized our people – happening now! at Mombasa! #RejectFinanceBill2024,Mombasa
2024-06-26,TikTok,Gen Z rising again! Meet at Uhuru Park for a march. #RutoMustGo,Uhuru Park
2024-06-28,TikTok,March on June 28 in Uhuru Park. We are fed up #KenyaProtests,Uhuru Park
2024-07-15,TikTok,Strike on July 15 in Parliament. We are fed up #SaveKenya,Parliament
2024-07-10,X,They brutalized our people. Strike on 10/07 at Kisumu. #SaveKenya,Kisumu
2024-06-27,X,They brutalized our people – happening urgent at Parliament! #GenZRevolution,Parliament
2024-06-23,Instagram,We are fed up – happening act fast at Parliament! #YouthPower,Parliament
2024-06-28,TikTok,Gather on June 28 in Kisumu. They brutalized our people #KenyaProtests,Kisumu
2024-06-21,X,This government is corrupt – happening now! at Mombasa! #KenyaProtests,Mombasa
2024-07-29,X,They brutalized our people – happening urgent at Mombasa! #OneTermPresident,Mombasa
2024-06-12,X,Boycott on June 12 in Mombasa. No justice no peace #OccupyParliament,Mombasa
2024-07-01,Instagram,Boycott on July 01 in Mombasa. We are fed up #OccupyParliament,Mombasa
2024-07-17,TikTok,No justice no peace. Protest on 17/07 at Kisumu. #RutoMustGo,Kisumu
2024-06-29,TikTok,We are fed up. March on 29/06 at Mombasa. #GenZRevolution,Mombasa
2024-07-01,Instagram,#RutoMustGo – boycott at Kisumu now!,Kisumu
2024-06-10,Instagram,Gen Z rising again! Meet at Kisumu for a gather. #YouthPower,Kisumu
2024-06-24,X,No justice no peace. Strike on 24/06 at Mombasa. #GenZRevolution,Mombasa
2024-07-02,TikTok,Gen Z rising again! Meet at Nairobi for a gather. #GenZRevolution,Nairobi
2024-06-21,Instagram,Gather on June 21 in Uhuru Park. We are fed up #YouthPower,Uhuru Park
2024-07-24,X,They brutalized our people – happening immediately at Uhuru Park! #OccupyParliament,Uhuru Park
2024-06-02,X,Boycott on June 02 in Parliament. No justice no peace #OneTermPresident,Parliament
2024-06-10,X,Boycott on June 10 in Nairobi. No justice no peace #GenZRevolution,Nairobi
2024-07-13,X,#GenZRevolution – strike at Nairobi act fast,Nairobi
2024-07-07,X,Gen Z rising again! Meet at Uhuru Park for a boycott. #RutoMustGo,Uhuru Park
2024-06-05,TikTok,This government is corrupt – happening urgent at Kisumu! #RutoMustGo,Kisumu
2024-06-26,TikTok,#RutoMustGo – gather at Parliament urgent,Parliament
2024-07-07,X,Protest on July 07 in Uhuru Park. No justice no peace #OccupyParliament,Uhuru Park
2024-07-05,TikTok,#GenZRevolution – strike at Parliament act fast,Parliament
2024-06-19,TikTok,This government is corrupt – happening urgent at Uhuru Park! #SaveKenya,Uhuru Park
2024-07-23,X,We are fed up – happening immediately at Mombasa! #OneTermPresident,Mombasa
2024-06-11,Instagram,This government is corrupt. Protest on 11/06 at Kisumu. #RutoMustGo,Kisumu
2024-07-25,Instagram,Boycott on July 25 in Kisumu. This government is corrupt #RejectFinanceBill2024,Kisumu
2024-07-21,X,Strike on July 21 in Kisumu. No justice no peace #OccupyParliament,Kisumu
2024-07-17,Instagram,Gather on July 17 in Mombasa. This government is corrupt #KenyaProtests,Mombasa
2024-07-08,TikTok,No justice no peace – happening now! at Kisumu! #RutoMustGo,Kisumu
2024-07-03,TikTok,This government is corrupt. Gather on 03/07 at Uhuru Park. #SaveKenya,Uhuru Park
2024-07-26,X,They brutalized our people – happening now! at Mombasa! #RutoMustGo,Mombasa
2024-07-29,Instagram,Gen Z rising again! Meet at Uhuru Park for a gather. #YouthPower,Uhuru Park
2024-06-28,TikTok,Gather on June 28 in Mombasa. This government is corrupt #RejectFinanceBill2024,Mombasa
2024-07-11,Instagram,Gen Z rising again! Meet at Kisumu for a protest. #SaveKenya,Kisumu
2024-06-06,TikTok,Gen Z rising again! Meet at Parliament for a march. #RejectFinanceBill2024,Parliament
2024-07-21,Instagram,March on July 21 in Mombasa. We are fed up #RutoMustGo,Mombasa
2024-06-26,X,#GenZRevolution – boycott at Nairobi act fast,Nairobi
2024-06-20,X,Gen Z rising again! Meet at Nairobi for a boycott. #OccupyParliament,Nairobi
2024-06-29,Instagram,They brutalized our people – happening now! at Nairobi! #YouthPower,Nairobi
2024-06-30,X,March on June 30 in Kisumu. We are fed up #GenZRevolution,Kisumu
2024-07-14,X,#OneTermPresident – strike at Kisumu immediately,Kisumu
2024-07-31,X,This government is corrupt – happening now! at Mombasa! #SaveKenya,Mombasa
2024-07-22,X,Gen Z rising again! Meet at Mombasa for a boycott. #SaveKenya,Mombasa
2024-06-23,X,Boycott on June 23 in Nairobi. No justice no peace #OccupyParliament,Nairobi
2024-06-04,Instagram,We are fed up. Strike on 04/06 at Parliament. #YouthPower,Parliament
2024-07-07,Instagram,#GenZRevolution – strike at Mombasa now!,Mombasa
2024-06-05,Instagram,We are fed up. Protest on 05/06 at Mombasa. #KenyaProtests,Mombasa
2024-07-03,Instagram,They brutalized our people – happening immediately at Nairobi! #GenZRevolution,Nairobi
2024-06-11,Instagram,This government is corrupt – happening now! at Nairobi! #RejectFinanceBill2024,Nairobi
2024-06-15,X,This government is corrupt – happening urgent at Kisumu! #YouthPower,Kisumu
2024-06-19,X,Protest on June 19 in Mombasa. No justice no peace #OneTermPresident,Mombasa
2024-06-11,X,#SaveKenya – gather at Mombasa urgent,Mombasa
2024-07-11,X,#KenyaProtests – march at Mombasa now!,Mombasa
2024-06-29,Instagram,Gen Z rising again! Meet at Kisumu for a gather. #RutoMustGo,Kisumu
2024-07-10,X,#YouthPower – protest at Uhuru Park act fast,Uhuru Park
2024-06-12,X,They brutalized our people. Protest on 12/06 at Uhuru Park. #YouthPower,Uhuru Park
2024-07-02,X,#RutoMustGo – protest at Mombasa urgent,Mombasa
2024-06-01,Instagram,This government is corrupt. Protest on 01/06 at Kisumu. #OneTermPresident,Kisumu
2024-07-15,X,Gen Z rising again! Meet at Kisumu for a gather. #KenyaProtests,Kisumu
2024-06-27,Instagram,Gen Z rising again! Meet at Kisumu for a march. #GenZRevolution,Kisumu
2024-07-30,TikTok,Gen Z rising again! Meet at Kisumu for a boycott. #GenZRevolution,Kisumu
2024-07-24,TikTok,We are fed up. Gather on 24/07 at Mombasa. #RejectFinanceBill2024,Mombasa
2024-06-25,Instagram,Gen Z rising again! Meet at Mombasa for a protest. #OccupyParliament,Mombasa
2024-06-29,X,#SaveKenya – protest at Uhuru Park urgent,Uhuru Park
2024-07-25,X,We are fed up – happening urgent at Nairobi! #YouthPower,Nairobi
2024-07-02,Instagram,No justice no peace – happening immediately at Parliament! #RutoMustGo,Parliament
2024-07-24,X,#RutoMustGo – gather at Nairobi urgent,Nairobi
2024-07-14,Instagram,Boycott on July 14 in Uhuru Park. No justice no peace #OccupyParliament,Uhuru Park
2024-07-29,Instagram,#RutoMustGo – gather at Parliament immediately,Parliament
2024-06-04,TikTok,Gen Z rising again! Meet at Mombasa for a boycott. #RejectFinanceBill2024,Mombasa
2024-07-29,Instagram,#YouthPower – gather at Parliament now!,Parliament
2024-07-29,TikTok,We are fed up – happening immediately at Mombasa! #SaveKenya,Mombasa
2024-06-16,TikTok,No justice no peace – happening act fast at Kisumu! #OccupyParliament,Kisumu
2024-07-29,Instagram,They brutalized our people. Boycott on 29/07 at Nairobi. #KenyaProtests,Nairobi
2024-07-09,X,This government is corrupt – happening act fast at Mombasa! #YouthPower,Mombasa
2024-06-28,Instagram,Gen Z rising again! Meet at Nairobi for a protest. #KenyaProtests,Nairobi
2024-07-14,Instagram,This government is corrupt. March on 14/07 at Nairobi. #YouthPower,Nairobi
2024-06-28,Instagram,#RutoMustGo – march at Parliament immediately,Parliament
2024-06-03,TikTok,March on June 03 in Kisumu. They brutalized our people #RutoMustGo,Kisumu
2024-07-11,Instagram,We are fed up – happening urgent at Nairobi! #RejectFinanceBill2024,Nairobi
